activity_key,activity_id,name,category,description,tier,cost_low,cost_high,unit,tier_notes,source,duration_min_weeks,duration_max_weeks,keywords,sources,notes
erp_netsuite_implementation,ERP-001,NetSuite ERP Implementation,erp,"Full NetSuite ERP implementation including configuration, data migration, and training",small,50000,100000,project,"Starter edition, basic modules",NetSuite partner data,12,40,netsuite|erp|oracle,NetSuite pricing guides|Kimberlite Partners|SCS Cloud,
erp_netsuite_implementation,ERP-001,NetSuite ERP Implementation,erp,"Full NetSuite ERP implementation including configuration, data migration, and training",medium,100000,250000,project,"Mid-market edition, multiple modules",Kimberlite Partners,12,40,netsuite|erp|oracle,NetSuite pricing guides|Kimberlite Partners|SCS Cloud,
erp_netsuite_implementation,ERP-001,NetSuite ERP Implementation,erp,"Full NetSuite ERP implementation including configuration, data migration, and training",large,250000,500000,project,"Enterprise edition, complex integrations",Industry benchmarks,12,40,netsuite|erp|oracle,NetSuite pricing guides|Kimberlite Partners|SCS Cloud,
erp_netsuite_implementation,ERP-001,NetSuite ERP Implementation,erp,"Full NetSuite ERP implementation including configuration, data migration, and training",enterprise,500000,1500000,project,"Multi-subsidiary, global rollout",Top10ERP.org,12,40,netsuite|erp|oracle,NetSuite pricing guides|Kimberlite Partners|SCS Cloud,
erp_sap_s4hana_implementation,ERP-002,SAP S/4HANA Implementation,erp,SAP S/4HANA implementation including migration from legacy SAP or greenfield,small,200000,500000,project,"SAP Business One, limited scope",,24,104,sap|s4hana|erp|hana,SAP partner network|Gartner research,
erp_sap_s4hana_implementation,ERP-002,SAP S/4HANA Implementation,erp,SAP S/4HANA implementation including migration from legacy SAP or greenfield,medium,500000,1500000,project,"S/4HANA Cloud, standard modules",,24,104,sap|s4hana|erp|hana,SAP partner network|Gartner research,
erp_sap_s4hana_implementation,ERP-002,SAP S/4HANA Implementation,erp,SAP S/4HANA implementation including migration from legacy SAP or greenfield,large,1500000,5000000,project,"S/4HANA on-prem, full suite",,24,104,sap|s4hana|erp|hana,SAP partner network|Gartner research,
erp_sap_s4hana_implementation,ERP-002,SAP S/4HANA Implementation,erp,SAP S/4HANA implementation including migration from legacy SAP or greenfield,enterprise,5000000,20000000,project,"Global rollout, complex landscape",,24,104,sap|s4hana|erp|hana,SAP partner network|Gartner research,
erp_oracle_cloud_implementation,ERP-003,Oracle Cloud ERP Implementation,erp,Oracle Fusion Cloud ERP implementation,small,150000,350000,project,Core financials only,,20,78,oracle|fusion|erp|cloud,Oracle partner data,
erp_oracle_cloud_implementation,ERP-003,Oracle Cloud ERP Implementation,erp,Oracle Fusion Cloud ERP implementation,medium,350000,800000,project,Financials + procurement,,20,78,oracle|fusion|erp|cloud,Oracle partner data,
erp_oracle_cloud_implementation,ERP-003,Oracle Cloud ERP Implementation,erp,Oracle Fusion Cloud ERP implementation,large,800000,2000000,project,Full suite implementation,,20,78,oracle|fusion|erp|cloud,Oracle partner data,
erp_oracle_cloud_implementation,ERP-003,Oracle Cloud ERP Implementation,erp,Oracle Fusion Cloud ERP implementation,enterprise,2000000,8000000,project,"Multi-pillar, global",,20,78,oracle|fusion|erp|cloud,Oracle partner data,
erp_integration_middleware,ERP-004,ERP Integration (Middleware/API),erp,Integrate ERP with other systems via middleware or API development,small,25000,75000,project,"Single integration, standard APIs",,4,24,erp|integration|api|middleware|mulesoft|boomi,Integration partner rates,
erp_integration_middleware,ERP-004,ERP Integration (Middleware/API),erp,Integrate ERP with other systems via middleware or API development,medium,75000,200000,project,"3-5 integrations, custom mapping",,4,24,erp|integration|api|middleware|mulesoft|boomi,Integration partner rates,
erp_integration_middleware,ERP-004,ERP Integration (Middleware/API),erp,Integrate ERP with other systems via middleware or API development,large,200000,500000,project,"10+ integrations, complex orchestration",,4,24,erp|integration|api|middleware|mulesoft|boomi,Integration partner rates,
erp_integration_middleware,ERP-004,ERP Integration (Middleware/API),erp,Integrate ERP with other systems via middleware or API development,enterprise,500000,1500000,project,Enterprise integration platform,,4,24,erp|integration|api|middleware|mulesoft|boomi,Integration partner rates,
erp_data_migration,ERP-005,ERP Data Migration,erp,"Extract, transform, and load data from legacy ERP to new system",small,20000,50000,project,Basic master data,,4,20,erp|data|migration|etl,Data migration consultants,
erp_data_migration,ERP-005,ERP Data Migration,erp,"Extract, transform, and load data from legacy ERP to new system",medium,50000,150000,project,Master + transactional data,,4,20,erp|data|migration|etl,Data migration consultants,
erp_data_migration,ERP-005,ERP Data Migration,erp,"Extract, transform, and load data from legacy ERP to new system",large,150000,400000,project,Full historical migration,,4,20,erp|data|migration|etl,Data migration consultants,
erp_data_migration,ERP-005,ERP Data Migration,erp,"Extract, transform, and load data from legacy ERP to new system",enterprise,400000,1000000,project,Multi-system consolidation,,4,20,erp|data|migration|etl,Data migration consultants,
crm_salesforce_implementation,CRM-001,Salesforce CRM Implementation,crm,Salesforce Sales Cloud or Service Cloud implementation,small,15000,50000,project,Basic Sales Cloud,Ascendix research,6,26,salesforce|crm|sales cloud|service cloud,Ascendix|CloudArc|Salesforce partners,
crm_salesforce_implementation,CRM-001,Salesforce CRM Implementation,crm,Salesforce Sales Cloud or Service Cloud implementation,medium,50000,150000,project,Sales + Service Cloud,CloudArc,6,26,salesforce|crm|sales cloud|service cloud,Ascendix|CloudArc|Salesforce partners,
crm_salesforce_implementation,CRM-001,Salesforce CRM Implementation,crm,Salesforce Sales Cloud or Service Cloud implementation,large,150000,400000,project,Multi-cloud with integrations,,6,26,salesforce|crm|sales cloud|service cloud,Ascendix|CloudArc|Salesforce partners,
crm_salesforce_implementation,CRM-001,Salesforce CRM Implementation,crm,Salesforce Sales Cloud or Service Cloud implementation,enterprise,400000,1500000,project,Full platform + CPQ + custom,,6,26,salesforce|crm|sales cloud|service cloud,Ascendix|CloudArc|Salesforce partners,
crm_hubspot_implementation,CRM-002,HubSpot CRM Implementation,crm,HubSpot CRM Hub implementation and configuration,small,5000,20000,project,"Starter tier, basic setup",,4,16,hubspot|crm|marketing,HubSpot partner data,
crm_hubspot_implementation,CRM-002,HubSpot CRM Implementation,crm,HubSpot CRM Hub implementation and configuration,medium,20000,75000,project,"Professional tier, integrations",,4,16,hubspot|crm|marketing,HubSpot partner data,
crm_hubspot_implementation,CRM-002,HubSpot CRM Implementation,crm,HubSpot CRM Hub implementation and configuration,large,75000,200000,project,"Enterprise tier, complex workflows",,4,16,hubspot|crm|marketing,HubSpot partner data,
crm_hubspot_implementation,CRM-002,HubSpot CRM Implementation,crm,HubSpot CRM Hub implementation and configuration,enterprise,200000,500000,project,"Multi-hub, global rollout",,4,16,hubspot|crm|marketing,HubSpot partner data,
crm_dynamics_implementation,CRM-003,Microsoft Dynamics 365 CRM Implementation,crm,Dynamics 365 Sales/Customer Service implementation,small,30000,80000,project,Sales module only,,8,30,dynamics|d365|crm|microsoft,Microsoft partner network,
crm_dynamics_implementation,CRM-003,Microsoft Dynamics 365 CRM Implementation,crm,Dynamics 365 Sales/Customer Service implementation,medium,80000,200000,project,Sales + Service,,8,30,dynamics|d365|crm|microsoft,Microsoft partner network,
crm_dynamics_implementation,CRM-003,Microsoft Dynamics 365 CRM Implementation,crm,Dynamics 365 Sales/Customer Service implementation,large,200000,500000,project,Full CRM suite,,8,30,dynamics|d365|crm|microsoft,Microsoft partner network,
crm_dynamics_implementation,CRM-003,Microsoft Dynamics 365 CRM Implementation,crm,Dynamics 365 Sales/Customer Service implementation,enterprise,500000,1500000,project,Integrated with D365 ERP,,8,30,dynamics|d365|crm|microsoft,Microsoft partner network,
crm_migration,CRM-004,CRM to CRM Migration,crm,"Migrate from one CRM platform to another (e.g., legacy to Salesforce)",small,15000,40000,project,<10K records,,4,16,crm|migration|data,CRM migration specialists,
crm_migration,CRM-004,CRM to CRM Migration,crm,"Migrate from one CRM platform to another (e.g., legacy to Salesforce)",medium,40000,100000,project,10K-100K records,,4,16,crm|migration|data,CRM migration specialists,
crm_migration,CRM-004,CRM to CRM Migration,crm,"Migrate from one CRM platform to another (e.g., legacy to Salesforce)",large,100000,300000,project,"100K-1M records, complex mapping",,4,16,crm|migration|data,CRM migration specialists,
crm_migration,CRM-004,CRM to CRM Migration,crm,"Migrate from one CRM platform to another (e.g., legacy to Salesforce)",enterprise,300000,800000,project,Multi-system consolidation,,4,16,crm|migration|data,CRM migration specialists,
iam_okta_implementation,IAM-001,Okta SSO/IAM Implementation,identity,Okta Workforce Identity implementation including SSO and MFA,small,15000,40000,project,"<200 users, basic SSO",,4,16,okta|sso|identity|iam|mfa,Okta pricing|SuperTokens guide,Plus $2-6/user/month ongoing license
iam_okta_implementation,IAM-001,Okta SSO/IAM Implementation,identity,Okta Workforce Identity implementation including SSO and MFA,medium,40000,100000,project,"200-1000 users, SSO + MFA",,4,16,okta|sso|identity|iam|mfa,Okta pricing|SuperTokens guide,Plus $2-6/user/month ongoing license
